Wall time,Step,Value
1642173774.062342,57,2.9173808097839355
1642173797.5953023,58,3.3480172157287598
1642173821.140648,59,2.1600682735443115
1642173844.6056821,60,2.8716397285461426
1642173868.0016572,61,2.544015407562256
1642173891.3281946,62,2.927203893661499
1642173914.8942757,63,2.544015407562256
1642173938.5976198,64,1.718682050704956
1642173962.0849612,65,2.8863513469696045
1642173985.5137758,66,2.9069008827209473
1642174009.1699991,67,2.745007038116455
1642174032.782745,68,2.927203893661499
1642174056.2447264,69,2.8773250579833984
1642174079.675804,70,2.7133419513702393
1642174103.19328,71,2.9073071479797363
1642174126.6351821,72,2.7995150089263916
1642174150.1274102,73,2.712615489959717
1642174173.844248,74,2.854365110397339
1642174197.2639701,75,2.531151056289673
1642174220.6658003,76,2.7995150089263916
1642174244.03054,77,3.0354201793670654
1642174267.5441105,78,2.7995150089263916
1642174291.0394845,79,2.2307610511779785
1642174314.386622,80,2.0945942401885986
1642174337.838801,81,2.0945942401885986
1642174361.284533,82,2.5062193870544434
1642174384.782783,83,2.9139533042907715
1642174408.2923956,84,2.7005224227905273
1642174431.719749,85,2.544015407562256
1642174455.1149445,86,3.1318862438201904
1642174478.7287016,87,1.7730013132095337
1642174502.187945,88,2.966257095336914
1642174525.768734,89,2.8670496940612793
1642174549.3685632,90,2.858222007751465
1642174573.0972376,91,2.6466476917266846
1642174596.642928,92,2.4406402111053467
1642174620.1344094,93,3.0819053649902344
1642174643.606316,94,3.066021680831909
1642174666.9292073,95,2.9139533042907715
1642174690.339887,96,2.809995174407959
1642174713.7791739,97,2.7995150089263916
1642174737.1348848,98,2.969165325164795
1642174760.576226,99,2.1600682735443115
1642174784.2416499,100,0.7151212692260742
1642174807.9001238,101,2.967940330505371
1642174831.5224645,102,2.990396738052368
1642174855.0995545,103,2.9108963012695312
1642174878.689089,104,2.850374937057495
1642174902.1599767,105,2.7952680587768555
1642174925.543864,106,-10.614181518554688
1642174949.0033388,107,3.298811435699463
1642174972.4894042,108,2.210226535797119
1642174995.946687,109,3.924290895462036
1642175019.702756,110,2.825767993927002
1642175042.8685503,111,2.3536016941070557
1642175066.343473,112,3.0332672595977783
1642175089.6851392,113,3.0304696559906006
1642175113.266943,114,2.5312492847442627
1642175136.8090103,115,3.2635111808776855
1642175160.3229387,116,2.909749984741211
1642175183.9372692,117,2.850198268890381
1642175207.4814007,118,2.7191572189331055
1642175230.9703975,119,1.7821863889694214
1642175254.43954,120,3.242109775543213
1642175277.8391721,121,2.0945942401885986
1642175301.3407297,122,2.6726388931274414
1642175324.8980567,123,2.767693281173706
1642175348.1953878,124,2.751638412475586
1642175371.5558784,125,1.7821863889694214
1642175394.9177036,126,2.927448272705078
1642175418.407952,127,2.8415279388427734
1642175441.906737,128,0.9467423558235168
1642175465.2637982,129,2.349090814590454
1642175488.8153698,130,3.839393138885498
1642175512.3446045,131,2.743039608001709
1642175536.0245593,132,5.048351764678955
1642175559.480347,133,2.5990171432495117
1642175582.9491765,134,1.7680987119674683
1642175606.3245401,135,1.3131396770477295
1642175629.7519422,136,4.077327251434326
1642175653.1742058,137,2.8689987659454346
1642175676.4691026,138,2.141324996948242
1642175699.7821717,139,2.6666452884674072
1642175723.2801,140,2.6114723682403564
1642175746.7475674,141,1.6935219764709473
1642175770.256008,142,1.8606982231140137
1642175793.785349,143,2.468524694442749
1642175817.304619,144,-7.923067092895508
1642175840.7817867,145,0.5710751414299011
1642175864.0718799,146,3.4296722412109375
1642175887.5635061,147,3.159933090209961
1642175910.8470588,148,3.2590723037719727
1642175934.5036755,149,-1.3387367725372314
1642175957.9656155,150,3.480854034423828
1642175981.3894036,151,3.4502460956573486
1642176004.8747737,152,2.440500497817993
1642176028.1963713,153,2.927203893661499
1642176051.8180854,154,-0.12177404016256332
1642176075.5329933,155,1.5439295768737793
1642176099.2249584,156,3.481889247894287
1642176122.588634,157,-4.066311836242676
1642176146.1077883,158,2.735114812850952
1642176169.8588452,159,3.27148175239563
1642176193.4059234,160,2.866795539855957
1642176216.8216746,161,3.5236010551452637
1642176240.3795264,162,0.24330811202526093
1642176263.8078895,163,-4.873446464538574
1642176287.3550127,164,3.6571171283721924
1642176310.9669886,165,2.663191556930542
1642176334.6197357,166,3.376162528991699
1642176357.8638856,167,1.0159552097320557
1642176381.2048652,168,2.927448272705078
1642176404.4339926,169,2.0317187309265137
1642176427.882883,170,2.9834046363830566
1642176451.4315186,171,2.3584465980529785
1642176474.9838629,172,2.993626117706299
1642176498.75555,173,1.6053156852722168
1642176522.36587,174,3.430387496948242
1642176545.7399716,175,1.5919476747512817
1642176569.3467429,176,3.109373092651367
1642176592.9988723,177,4.00562047958374
1642176616.4942276,178,1.1924008131027222
1642176640.0873766,179,2.0699024200439453
1642176663.5686405,180,3.565103769302368
1642176687.1698372,181,2.9139533042907715
1642176710.8677137,182,2.228900671005249
1642176734.4496994,183,1.103779911994934
1642176757.7639277,184,1.9083571434020996
1642176781.2358446,185,2.9139533042907715
1642176804.7325203,186,2.578052282333374
1642176828.2676687,187,2.663425922393799
1642176851.9019754,188,2.1861014366149902
1642176875.5380306,189,2.9139533042907715
1642176899.1599147,190,3.1483078002929688
1642176922.5150242,191,2.7995150089263916
1642176946.1459928,192,2.968994379043579
1642176969.6675973,193,2.9298763275146484
1642176993.0978527,194,2.745007038116455
1642177016.7577426,195,3.4309635162353516
1642177040.3615077,196,3.3747169971466064
1642177063.6997726,197,2.9840426445007324
1642177087.0967345,198,2.858222007751465
1642177110.4070814,199,2.9795656204223633
1642177133.8745048,200,2.7995150089263916
